"ESTU_TIPODOCUMENTO","ESTU_NACIONALIDAD","ESTU_GENERO","ESTU_FECHANACIMIENTO","PERIODO","ESTU_CONSECUTIVO","ESTU_ESTUDIANTE","ESTU_PAIS_RESIDE","ESTU_TIENEETNIA","ESTU_DEPTO_RESIDE","ESTU_COD_RESIDE_DEPTO","ESTU_MCPIO_RESIDE","ESTU_COD_RESIDE_MCPIO","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_CUARTOSHOGAR","FAMI_EDUCACIONPADRE","FAMI_EDUCACIONMADRE","FAMI_TRABAJOLABORPADRE","FAMI_TRABAJOLABORMADRE","FAMI_TIENEINTERNET","FAMI_TIENESERVICIOTV","FAMI_TIENECOMPUTADOR","FAMI_TIENELAVADORA","FAMI_TIENEHORNOMICROOGAS","FAMI_TIENEAUTOMOVIL","FAMI_TIENEMOTOCICLETA","FAMI_TIENECONSOLAVIDEOJUEGOS","FAMI_NUMLIBROS","FAMI_COMELECHEDERIVADOS","FAMI_COMECARNEPESCADOHUEVO","FAMI_COMECEREALFRUTOSLEGUMBRE","FAMI_SITUACIONECONOMICA","ESTU_DEDICACIONLECTURADIARIA","ESTU_DEDICACIONINTERNET","ESTU_HORASSEMANATRABAJA","ESTU_TIPOREMUNERACION","COLE_CODIGO_ICFES","COLE_COD_DANE_ESTABLECIMIENTO","COLE_NOMBRE_ESTABLECIMIENTO","COLE_GENERO","COLE_NATURALEZA","COLE_CALENDARIO","COLE_BILINGUE","COLE_CARACTER","COLE_COD_DANE_SEDE","COLE_NOMBRE_SEDE","COLE_SEDE_PRINCIPAL","COLE_AREA_UBICACION","COLE_JORNADA","COLE_COD_MCPIO_UBICACION","COLE_MCPIO_UBICACION","COLE_COD_DEPTO_UBICACION","COLE_DEPTO_UBICACION","ESTU_PRIVADO_LIBERTAD","ESTU_COD_MCPIO_PRESENTACION","ESTU_MCPIO_PRESENTACION","ESTU_DEPTO_PRESENTACION","ESTU_COD_DEPTO_PRESENTACION","PUNT_LECTURA_CRITICA","PERCENTIL_LECTURA_CRITICA","DESEMP_LECTURA_CRITICA","PUNT_MATEMATICAS","PERCENTIL_MATEMATICAS","DESEMP_MATEMATICAS","PUNT_C_NATURALES","PERCENTIL_C_NATURALES","DESEMP_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PERCENTIL_SOCIALES_CIUDADANAS","DESEMP_SOCIALES_CIUDADANAS","PUNT_INGLES","PERCENTIL_INGLES","DESEMP_INGLES","PUNT_GLOBAL","PERCENTIL_GLOBAL","ESTU_ESTADOINVESTIGACION","ESTU_GENERACION-E"
"CC","COLOMBIA","F","04/01/2001","20,201","SB11202010073927","ESTUDIANTE","COLOMBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110742","311001106690","COLEGIO INSCAP","MIXTO","NO OFICIAL","A","N","ACADÉMICO","311,001,106,690","COL INST INSCAP - SEDE PRINCIPAL","S","URBANO","MAÑANA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","61","52","3","53","32","3","57","49","3","66","75","3","55","31","A1","295","50","PUBLICAR","NO"
"CC","COLOMBIA","F","04/01/2002","20,201","SB11202010002690","ESTUDIANTE","COLOMBIA","No","QUINDIO","63","ARMENIA","63,001","Estrato 5","7 a 8","Seis o mas","Postgrado","Postgrado","No aplica","Es agricultor, pesquero o jornalero","Si","Si","Si","Si","Si","Si","No","Si","MÁS DE 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","Todos o casi todos los días","Igual","Entre 30 y 60 minutos","Entre 1 y 3 horas","Menos de 10 horas","Si, en efectivo","100990","463190000443","GIMN INGLES","MIXTO","NO OFICIAL","B","S","ACADÉMICO","463,190,000,443","GIMN INGLES","S","RURAL","COMPLETA","63690","SALENTO","63","QUINDIO","N","63001","ARMENIA","QUINDIO","63","77","97","4","65","64","3","68","81","3","69","82","3","100","100","B+","360","89","PUBLICAR","NO"
"CC","COLOMBIA","F","06/01/0001","20,201","SB11202010009013","ESTUDIANTE","COLOMBIA","No","VALLE","76","CALI","76,001","Estrato 5","3 a 4","Dos","Educación profesional completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Si","Si","Si","Si","Si","Si","No","No","MÁS DE 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","1 o 2 veces por semana","Igual","Entre 1 y 2 horas","Entre 30 y 60 minutos","0","No","055657","376001022300","COLEGIO LUIS HORACIO GOMEZ","MIXTO","NO OFICIAL","B","N","ACADÉMICO","376,001,022,300","COLEGIO LUIS HORACIO GOMEZ","S","URBANO","COMPLETA","76001","CALI","76","VALLE","N","76001","CALI","VALLE","76","36","4","2","26","1","1","45","21","2","31","5","1",,"1","A-","172",,"PUBLICAR","NO"
"CC","COLOMBIA","F","06/01/1997","20,201","SB11202010071588","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001",,"3 a 4","Dos","Primaria completa","Educación profesional completa","Es vendedor o trabaja en atención al público","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Si","Si","No","No","No","No","Si","No","11 A 25 LIBROS","3 a 5 veces por semana","3 a 5 veces por semana","Todos o casi todos los días","Igual","30 minutos o menos","30 minutos o menos","Más de 30 horas","No","074500","311001091595","COL TRIANGULO KENNEDY","MIXTO","NO OFICIAL","A","N","ACADÉMICO","311,001,091,595","COL TRIANGULO KENNEDY","S","URBANO","NOCHE","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","60","47","3","48","22","2","43","17","2","49","33","2","35","6","A-","244","25","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","F","06/01/1998","20,201","SB11202010071758","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 2","1 a 2","Uno","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","Si","No",,"Si",,,,,"0 A 10 LIBROS","1 o 2 veces por semana","1 o 2 veces por semana","1 o 2 veces por semana",,"30 minutos o menos","Entre 30 y 60 minutos","0",,"663542","311001800014","COLEGIO CENCOSISTEMAS SUBA","MIXTO","NO OFICIAL","OTRO",,,"311,001,800,014","COLEGIO CENCOSISTEMAS SUBA - SEDE PRINCIPAL","S","URBANO","SABATINA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","33","2","1","24","1","1","40","12","1","31","6","1","31","3","A-","160","2","PUBLICAR","NO"
"CC","COLOMBIA","F","07/01/1980","20,201","SB11202010070753","ESTUDIANTE","COLOMBIA","No","ANTIOQUIA","05","MEDELLÍN","5,001","Estrato 2","5 a 6","Dos","Primaria incompleta","Primaria incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","No","Si","No","No","No","No","No","No","11 A 25 LIBROS","1 o 2 veces por semana","1 o 2 veces por semana","1 o 2 veces por semana","Igual","No leo por entretenimiento","No Navega Internet","Entre 11 y 20 horas","No","719146","305001020558","COL CREADORES DEL FUTURO","MIXTO","NO OFICIAL","A","N","ACADÉMICO","305,001,020,558","COL CREADORES DEL FUTURO","S","URBANO","SABATINA","05001","MEDELLÍN","05","ANTIOQUIA","N","05001","MEDELLÍN","ANTIOQUIA","05","43","10","2","37","7","2","30","2","1","43","23","2","29","2","A-","188","6","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","F","07/01/1993","20,201","SB11202010070304","ESTUDIANTE","COLOMBIA","No","ANTIOQUIA","05","MEDELLÍN","5,001","Estrato 4","1 a 2","Seis o mas","Educación profesional incompleta","Educación profesional completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","Si","No","No","11 A 25 LIBROS","Nunca o rara vez comemos eso","Todos o casi todos los días","Todos o casi todos los días","Igual","30 minutos o menos","30 minutos o menos","Más de 30 horas","Si, en efectivo","095869","305001022682","POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN","MIXTO","NO OFICIAL","OTRO","N","ACADÉMICO","305,001,022,682","POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN","S","URBANO","MAÑANA","05001","MEDELLÍN","05","ANTIOQUIA","N","05001","MEDELLÍN","ANTIOQUIA","05","54","32","3","41","12","2","45","20","2","50","35","2","47","19","A-","237","22","PUBLICAR","NO"
"CC","COLOMBIA","F","07/01/1996","20,201","SB11202010071741","ESTUDIANTE","COLOMBIA","No","CUNDINAMARCA","25","PACHO","25,513","Estrato 3","7 a 8","Tres","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","No","Si","No","Si","Si","Si","Si","No","11 A 25 LIBROS","3 a 5 veces por semana","3 a 5 veces por semana","Todos o casi todos los días","Igual","Entre 1 y 2 horas","Entre 30 y 60 minutos","Entre 11 y 20 horas","Si, en efectivo","132373","125513000950","INSTITUCION EDUCATIVA DEPARTAMENTAL PIO XII","MIXTO","OFICIAL","A","N","TÉCNICO/ACADÉMICO","125,513,000,950","INSTITUCION EDUCATIVA DEPARTAMENTAL PIO XII","S","URBANO","SABATINA","25513","PACHO","25","CUNDINAMARCA","N","25899","ZIPAQUIRÁ","CUNDINAMARCA","25","50","21","2","54","34","3","48","28","2","56","49","3","51","25","A1","260","32","PUBLICAR","NO"
"CC","COLOMBIA","F","07/01/2001","20,201","SB11202010057606","ESTUDIANTE","COLOMBIA","No","VALLE","76","CALI","76,001","Estrato 6","5 a 6","Tres","Educación profesional incompleta","Educación profesional incompleta","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Si","Si","Si","Si","Si","Si","No","Si","26 A 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","Todos o casi todos los días","Igual","30 minutos o menos","Más de 3 horas","0","No","729939","376001000951","CORPORACIÓN CULTURAL COLEGIO ALEMÁN","MIXTO","NO OFICIAL","B","N","ACADÉMICO","376,001,000,951","CORPORACIÓN CULTURAL COLEGIO ALEMÁN - SEDE PRICIPAL","S","URBANO","UNICA","76001","CALI","76","VALLE","N","76001","CALI","VALLE","76","71","84","4","54","36","3","60","59","3","58","55","3","70","55","B1","307","57","PUBLICAR","NO"
"CC","COLOMBIA","F","08/01/1993","20,201","SB11202010072212","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 2","5 a 6","Cinco","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Si","Si","No","Si","No","No","No","No","11 A 25 LIBROS","3 a 5 veces por semana","3 a 5 veces por semana","3 a 5 veces por semana","Peor","30 minutos o menos","Entre 30 y 60 minutos","0","No","163915","311001106410","INST POLITECNICO JOSE CELESTINO MUTIS","MIXTO","NO OFICIAL","A",,"ACADÉMICO","311,001,106,410","INST POLITECNICO JOSE CELESTINO MUTIS","S","URBANO","SABATINA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","36","4","2","42","13","2","28","1","1","37","12","1","34","5","A-","178","4","PUBLICAR","GENERACION E - GRATUIDAD"
